Song	Performer	ACM Song ID (STAG)	Song URL (STAG)
Candy Shop (Explicit)	50 Cent featuring Olivia	481f9247-3df8-48ef-b0fe-407754701fe9	https://staging.ms.amanotes.net/song/481f9247-3df8-48ef-b0fe-407754701fe9
Take on Me	a-ha	6b4a515f-ef57-4377-821f-04511aabe81d	https://staging.ms.amanotes.net/song/6b4a515f-ef57-4377-821f-04511aabe81d
I Want It That Way	Backstreet Boys	81e2d744-8e01-4073-8f7c-7f83ee1262f3	https://staging.ms.amanotes.net/song/81e2d744-8e01-4073-8f7c-7f83ee1262f3
Stand By Me	Ben E King	f9cee2f5-1f17-4ba8-8f50-c2858d534ea3	https://staging.ms.amanotes.net/song/f9cee2f5-1f17-4ba8-8f50-c2858d534ea3
If I Were a Boy	Beyonce	83b0fff6-b5a4-4160-b596-0a289f7e2c2f	https://staging.ms.amanotes.net/song/83b0fff6-b5a4-4160-b596-0a289f7e2c2f
Uptown Girl	Billy Joel	132a0353-c171-431d-84f8-58bb6d03d371	https://staging.ms.amanotes.net/song/132a0353-c171-431d-84f8-58bb6d03d371
Call Me	Blondie	71ac8f19-7be3-4bc0-8669-c7030975bbc4	https://staging.ms.amanotes.net/song/71ac8f19-7be3-4bc0-8669-c7030975bbc4
Daddy Cool	Boney M	984f3c8c-5925-43ff-ae92-625c85c1b486	https://staging.ms.amanotes.net/song/984f3c8c-5925-43ff-ae92-625c85c1b486
...Baby One More Time	Britney Spears	a7c33bd8-32a8-40b9-ad01-9a328b3b1bd2	https://staging.ms.amanotes.net/song/a7c33bd8-32a8-40b9-ad01-9a328b3b1bd2
Bad Romance (Explicit)	Lady Ga Ga	2c43fd56-f36a-4864-af97-29ae440093eb	https://staging.ms.amanotes.net/song/2c43fd56-f36a-4864-af97-29ae440093eb
Toxic	Britney Spears	e2b9cfc4-04a9-47af-9309-602fa1ca707e	https://staging.ms.amanotes.net/song/e2b9cfc4-04a9-47af-9309-602fa1ca707e
The Scientist	Coldplay	264f22b1-61e9-4274-93bc-9c282d9ee61b	https://staging.ms.amanotes.net/song/264f22b1-61e9-4274-93bc-9c282d9ee61b
Viva La Vida	Coldplay	df40f361-5b2b-4daa-a83b-7cdfbf676bbc	https://staging.ms.amanotes.net/song/df40f361-5b2b-4daa-a83b-7cdfbf676bbc
Endless Love	Diana Ross and Lionel Richie	6db3eb16-d342-4092-a796-985a2e5a9138	https://staging.ms.amanotes.net/song/6db3eb16-d342-4092-a796-985a2e5a9138
Rocket Man (I Think It's Going To Be A Long, Long Time)	Elton John	ba37341a-6238-453f-b2ff-4eb137a1d94f	https://staging.ms.amanotes.net/song/ba37341a-6238-453f-b2ff-4eb137a1d94f
